Synonym,Family,LDMC (g/g),Plant height (m),Nmass (mg/g),Leaf area (mm2),Woodiness,Diaspore mass (mg),N_Names,N_Langs,N_Uses,Species,Ssp_var
Lonicera ciliosa,Caprifoliaceae,NA,NA,NA,NA,woody,12.21,36,18,25,Lonicera ciliosa,NA
Lonicera involucrata,Caprifoliaceae,NA,3.04,NA,3198.17,woody,1.517,68,34,72,Lonicera involucrata,NA
Lupinus nootkatensis,Leguminosae,NA,0.774596669,NA,NA,non-woody,21.5444,18,12,2,Lupinus nootkatensis,NA
Lupinus polyphyllus,Leguminosae,0.169670323,1.159253422,32.93508767,1460.17,non-woody,22.4556,22,14,6,Lupinus polyphyllus,NA
Lycopodium clavatum,Lycopodiaceae,380.19,0.126025349,8.344249731,2.39,non-woody,9.41e-6,26,17,11,Lycopodium clavatum,NA
Lysichiton americanus,Araceae,NA,1.1,NA,NA,non-woody,54.5368,78,44,111,Lysichiton americanus,NA
Mahonia aquifolium,Berberidaceae,NA,NA,NA,NA,NA,NA,68,29,58,Mahonia aquifolium,NA
Mahonia nervosa,Berberidaceae,NA,NA,NA,NA,NA,NA,68,29,33,Mahonia nervosa,NA
Maianthemum dilatatum,Asparagaceae,NA,1.071954446,NA,9050,non-woody,24.7677,42,21,15,Maianthemum dilatatum,NA
Maianthemum racemosum subsp. amplexicaule,Liliaceae,NA,NA,NA,NA,NA,NA,38,21,3,Maianthemum racemosum,subsp. amplexicaule
Malus fusca,Rosaceae,NA,7.463799301,NA,NA,woody,9.5443,95,33,90,Malus fusca,NA
Mentha arvensis,Lamiaceae,0.171148565,0.293615646,15.13,566.07,non-woody,0.1483,30,19,208,Mentha arvensis,NA
Menziesia ferruginea,Ericaceae,NA,0.8,NA,NA,woody,NA,20,17,9,Menziesia ferruginea,NA
Moneses uniflora,Ericaceae,0.27,0.053078369,20.4,358.33,non-woody,0.002,11,10,14,Moneses uniflora,NA
Monotropa uniflora,Ericaceae,NA,NA,19.7,NA,non-woody,NA,5,4,12,Monotropa uniflora,NA
Myrica gale,Myricaceae,345,1.411935754,25.45584412,144.78,woody,1.1498,5,5,8,Myrica gale,NA
Nicotiana attenuata,Solanaceae,NA,NA,NA,NA,non-woody,0.13,56,32,76,Nicotiana attenuata,NA
Nicotiana quadrivalvis,Solanaceae,NA,NA,NA,NA,NA,0.11,56,32,11,Nicotiana quadrivalvis,NA
Nicotiana tabacum,Solanaceae,NA,1.709378663,NA,9050,non-woody,0.0428,56,32,44,Nicotiana tabacum,NA
Nuphar lutea,Nymphaeaceae,0.180974936,0.45,35.85847,24904.2,non-woody,48.0206,62,39,1,Nuphar lutea,NA
Oemleria cerasiformis,Rosaceae,NA,1.949358869,19.2,1170,woody,181.5331,23,14,26,Oemleria cerasiformis,NA
Oenanthe sarmentosa,Apiaceae,NA,NA,NA,NA,non-woody,2.7279,13,10,17,Oenanthe sarmentosa,NA
Oplopanax horridus,Araliaceae,NA,NA,NA,NA,woody,18.64,68,44,157,Oplopanax horridus,NA
Opuntia fragilis,Cactaceae,NA,NA,NA,NA,non-woody,21.6208,16,13,14,Opuntia fragilis,NA
Opuntia polyacantha,Cactaceae,NA,0.6,NA,NA,non-woody,7.4187,16,13,46,Opuntia polyacantha,NA
Osmorhiza berteroi,Apiaceae,NA,NA,NA,NA,non-woody,5.88,11,8,23,Osmorhiza berteroi,NA
Osmorhiza occidentalis,Apiaceae,NA,1.21,NA,345.32,non-woody,13.2701,8,6,70,Osmorhiza occidentalis,NA
Oxalis oregana,Oxalidaceae,NA,0.04,NA,675,non-woody,3.5683,7,5,18,Oxalis oregana,NA
Oxyria digyna,Polygonaceae,0.09,0.100040551,43.67757953,375.01,non-woody,0.6359,8,4,11,Oxyria digyna,NA
Paxistima myrsinites,Celastraceae,NA,1,NA,102.58,woody,NA,10,5,16,Paxistima myrsinites,NA
Penstemon fruticosus,Plantaginaceae,NA,0.6,NA,NA,woody,0.6571,11,4,27,Penstemon fruticosus,NA
Perideridia gairdneri,Apiaceae,NA,1.21,NA,NA,non-woody,0.8769,28,16,39,Perideridia gairdneri,NA
Petasites frigidus,Compositae,NA,0.125,24.4059419,NA,non-woody,0.7968,21,14,13,Petasites frigidus,NA
Phalaris arundinacea,Poaceae,186.847180445758,1.342179414,22.15447907,2344.28,non-woody,0.669,21,15,3,Phalaris arundinacea,NA
Philadelphus lewisii,Hydrangeaceae,NA,3.65,NA,NA,woody,0.0992,22,15,48,Philadelphus lewisii,NA
Phyllospadix scouleri,Zosteraceae,NA,NA,NA,NA,NA,NA,10,5,4,Phyllospadix scouleri,NA
Physocarpus capitatus,Rosaceae,NA,2.43,NA,NA,woody,0.7306,12,11,19,Physocarpus capitatus,NA
Physocarpus malvaceus,Rosaceae,NA,1.792375154,NA,NA,woody,0.6548,12,11,3,Physocarpus malvaceus,NA
Picea engelmannii,Pinaceae,NA,35.29363732,9.981690298,29.39,woody,3.2352,43,26,24,Picea engelmannii,NA
Picea glauca,Pinaceae,513.4,25.8348762,10.63662706,23.72,woody,2.4515,43,26,166,Picea glauca,NA
Picea mariana,Pinaceae,NA,19.76011127,8.37922413,30,woody,1.1325,21,13,81,Picea mariana,NA
Picea sitchensis,Pinaceae,183.834432519292,55.11326253,11.17514256,17.99,woody,2.3678,56,31,136,Picea sitchensis,NA
Pinus albicaulis,Pinaceae,NA,16.69885319,10.35,NA,woody,144.2337,31,14,13,Pinus albicaulis,NA
Pinus contorta,Pinaceae,NA,21.37252117,11.31399704,50,woody,4.2359,81,42,103,Pinus contorta,NA
Pinus monticola,Pinaceae,NA,63.19708609,14.55555556,NA,woody,18.0794,43,26,28,Pinus monticola,NA
Pinus ponderosa,Pinaceae,0.246394809333333,38.30074011,11.1695215,160,woody,35.7087,24,15,138,Pinus ponderosa,NA
Plantago major,Plantaginaceae,0.1596663,0.166581764,18.80325799,4852.23,non-woody,0.2197,37,23,93,Plantago major,NA
Plantago maritima,Plantaginaceae,NA,0.192142876,15.37,749.42,non-woody,0.5613,6,4,2,Plantago maritima,NA
Platanthera dilatata,Orchidaceae,NA,NA,NA,NA,non-woody,0.03,8,6,2,Platanthera dilatata,NA
Platanthera stricta,Orchidaceae,NA,NA,NA,NA,NA,NA,8,6,1,Platanthera stricta,NA
Polypodium glycyrrhiza,Polypodiaceae,NA,NA,NA,NA,NA,NA,39,30,33,Polypodium glycyrrhiza,NA
Polystichum munitum,Dryopteridaceae,NA,1.06,NA,NA,non-woody,1.94e-5,71,29,59,Polystichum munitum,NA
Populus balsamifera,Salicaceae,NA,18.33734857,17.56593597,2774,woody,1.0156,94,51,17,Populus balsamifera,NA
Populus balsamifera subsp. trichocarpa,Salicaceae,NA,NA,NA,NA,NA,NA,94,51,92,Populus balsamifera,subsp. trichocarpa
Populus tremuloides,Salicaceae,365.3545907044,16.70656374,20.80417917,2066.58,woody,0.117,55,32,117,Populus tremuloides,NA
Potamogeton natans,Potamogetonaceae,0.206473961,0.1334681635,38.11417833,2369.5,non-woody,5.7488,9,7,2,Potamogeton natans,NA
Prunus emarginata,Rosaceae,NA,7.151135165,NA,2467.61,woody,43.3912,80,35,95,Prunus emarginata,NA
Prunus pensylvanica,Rosaceae,NA,11.10910705,23.47781293,2047.7,woody,39.0131,80,35,52,Prunus pensylvanica,NA
Prunus virginiana,Rosaceae,NA,5.99539284,18.85670178,975.08,woody,65.8145,46,20,165,Prunus virginiana,NA
Pseudoroegneria spicata,Poaceae,NA,NA,NA,NA,NA,NA,11,9,2,Pseudoroegneria spicata,NA
Pseudotsuga menziesii,Pinaceae,NA,65.27951123,11.84097595,31.17,woody,12.6048,86,43,87,Pseudotsuga menziesii,NA
Pteridium aquilinum,Dennstaedtiaceae,298,1.611970256,25.01895541,140000,non-woody,2.2e-5,90,40,80,Pteridium aquilinum,NA
Pterospora andromedea,Ericaceae,NA,NA,NA,NA,non-woody,0.0034,5,5,15,Pterospora andromedea,NA
Purshia tridentata,Rosaceae,NA,1.82,22.04273525,29,woody,23.6005,7,3,59,Purshia tridentata,NA
Pyrola asarifolia,Ericaceae,NA,NA,13,NA,non-woody,0.007,7,7,7,Pyrola asarifolia,NA
Quercus garryana,Fagaceae,NA,20.69145058,NA,NA,woody,4405.2792,17,11,26,Quercus garryana,NA
