Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Lathyrus nevadensis,Lathyrus,22,15,1,70.05172097655624,24.75644413582109,non-woody,0.7790621855291656,1836.6449233789463
Lathyrus ochroleucus,Lathyrus,22,15,5,66.3467445928455,32.9,non-woody,0.9,1971.382762182757
Ledum glandulosum,Ledum,92,43,2,173.8687665738553,20.767337858041934,woody,1.37,1587.1067446604247
Lewisia rediviva,Lewisia,21,13,50,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Leymus cinereus,Leymus,15,10,18,106.82799316565178,21.41594898807504,non-woody,1.52,2148.0081028089885
Leymus mollis,Leymus,17,11,18,77.64700931574477,21.466425969071715,non-woody,1.21,2025.3549602017852
Ligusticum scoticum,Ligusticum,12,4,5,64.99784080213405,20.48470881710229,non-woody,0.52,3161.9999999999986
Lilium columbianum,Lilium,34,22,27,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Linnaea borealis,Linnaea,8,8,6,0.25,9.304296068,non-woody,0.17717347,92.95999999999995
Lithospermum ruderale,Lithospermum,15,6,23,66.70539102257734,19.844527865481,non-woody,0.45,1389.0812013227496
Lomatium canbyi,Lomatium,8,6,8,69.23547575715604,19.201742696055305,non-woody,0.24,663.3779718273549
Lomatium cous,Lomatium,14,10,12,69.23547575715604,19.201742696055305,non-woody,0.24,663.3779718273549
Lomatium dissectum,Lomatium,10,7,40,104.88787887000929,21.454860810062353,non-woody,1.4,2095.5859095413357
Lomatium nudicaule,Lomatium,25,18,54,66.14687992160336,20.397699439995385,non-woody,0.5737811886091112,1527.6878939910175
Lonicera ciliosa,Lonicera,36,18,25,184.47826123096473,21.192108882489503,woody,2.676276254192247,1892.7979914957743
Lonicera involucrata,Lonicera,68,34,72,188.61232122423664,20.861694453567786,woody,3.04,3198.170000000001
Lupinus nootkatensis,Lupinus,18,12,2,62.72753909235969,23.848714384152025,non-woody,0.774596669,1809.3477107385602
Lupinus polyphyllus,Lupinus,22,14,6,0.169670323,32.93508767,non-woody,1.159253422,1460.1700000000005
Lycopodium clavatum,Lycopodium,26,17,11,380.19,8.344249731,non-woody,0.12602534899999998,2.39
Lysichiton americanus,Lysichiton,78,44,111,70.45353274466447,21.59766234454816,non-woody,1.1,2100.089243012579
Maianthemum dilatatum,Maianthemum,42,21,15,68.00719838868125,21.410105920767368,non-woody,1.071954446,9049.999999999998
Malus fusca,Malus,95,33,90,195.40984220508994,21.262117244041352,woody,7.463799301,1746.6417678838072
Mentha arvensis,Mentha,30,19,208,0.171148565,15.13,non-woody,0.293615646,566.0700000000003
Menziesia ferruginea,Menziesia,20,17,9,151.89624797692971,20.34443752650631,woody,0.8,1468.4222412256788
Moneses uniflora,Moneses,11,10,14,0.27,20.4,non-woody,0.053078368999999986,358.33000000000004
Monotropa uniflora,Monotropa,5,4,12,65.68743068530853,19.7,non-woody,0.6281107251280665,1513.7826888266495
Myrica gale,Myrica,5,5,8,345,25.45584412,woody,1.411935754,144.77999999999994
Nicotiana attenuata,Nicotiana,56,32,76,68.87958208558403,21.589994983823185,non-woody,0.8735694323231104,2798.8958368092945
Nicotiana quadrivalvis,Nicotiana,56,32,11,68.87958208558403,21.589994983823185,non-woody,0.8735694323231104,2798.8958368092945
Nicotiana tabacum,Nicotiana,56,32,44,118.97051638419887,21.35547881014177,non-woody,1.709378663,9049.999999999998
Nuphar lutea,Nuphar,62,39,1,0.180974936,35.85847,non-woody,0.45,24904.200000000023
Oemleria cerasiformis,Oemleria,23,14,26,180.238580326116,19.2,woody,1.949358869,1170.0000000000005
Oenanthe sarmentosa,Oenanthe,13,10,17,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Oplopanax horridus,Oplopanax,68,44,157,184.63671258697013,21.081880375551318,woody,2.617876081551434,1784.4249263878976
Opuntia fragilis,Opuntia,16,13,14,67.59833120501315,20.990692114353635,non-woody,0.7063305217569031,1874.6376330574435
Opuntia polyacantha,Opuntia,16,13,46,66.99482139840266,20.855985183866213,non-woody,0.6,1790.290211811139
Osmorhiza berteroi,Osmorhiza,11,8,23,66.61412423725488,19.81278942841858,non-woody,0.511612867150298,1160.5149257207875
Osmorhiza occidentalis,Osmorhiza,8,6,70,73.15105176609,18.977895172373614,non-woody,1.21,345.3199999999998
Oxalis oregana,Oxalis,7,5,18,69.97637503308125,19.565437053445102,non-woody,0.04000000000000001,675.0000000000002
Oxyria digyna,Oxyria,8,4,11,0.09,43.67757953,non-woody,0.10004055100000002,375.00999999999993
Paxistima myrsinites,Paxistima,10,5,16,175.38101261027344,16.92884236326287,woody,1,102.57999999999997
Penstemon fruticosus,Penstemon,11,4,27,151.4239625406308,19.88086681016556,woody,0.6,1405.7422789513112
Perideridia gairdneri,Perideridia,28,16,39,77.64700931574477,21.466425969071715,non-woody,1.21,2025.3549602017852
Petasites frigidus,Petasites,21,14,13,77.59014281527989,24.4059419,non-woody,0.12500000000000003,787.1427058544868
Phalaris arundinacea,Phalaris,21,15,3,186.847180445758,22.15447907,non-woody,1.342179414,2344.2799999999993
Philadelphus lewisii,Philadelphus,22,15,48,190.87001080184,21.099348645266115,woody,3.65,1743.2837002232068
Physocarpus capitatus,Physocarpus,12,11,19,184.65353378396725,21.155837061223643,woody,2.43,1786.6995758674345
Physocarpus malvaceus,Physocarpus,12,11,3,187.0222415533837,20.942848613909195,woody,1.792375154,1570.1004225097117
Picea engelmannii,Picea,43,26,24,264.7559818969146,9.981690298,woody,35.29363732,29.39
