Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Hedysarum alpinum,Leguminosae,15,7,12,Hedysarum alpinum,NA,38.3,non-woody,0.4837749612933906,6.0681,0.24494897400000004,1609.3528254146706,128
Heracleum maximum,Apiaceae,102,50,189,Heracleum maximum,NA,22.07916403759461,non-woody,7.277627715269452,6.538600000000001,2.43,12356.380000000003,129
Heuchera cylindrica,Saxifragaceae,17,12,22,Heuchera cylindrica,NA,19.002371498690426,non-woody,13.378029105920698,0.05000000000000001,1.82,3087.967125692619,130
Hierochloe odorata,Poaceae,14,8,92,Hierochloe odorata,NA,19.263608574499518,non-woody,0.19,1.1152,0.350568382,33,131
Holodiscus discolor,Rosaceae,36,26,65,Holodiscus discolor,NA,18.03820416,woody,166.81147520198508,0.11340000000000001,2.928841355,661.4199999999998,132
Hordeum jubatum,Poaceae,17,11,6,Hordeum jubatum,NA,22.54,non-woody,0.24441,1.6304,0.411953429,181.00000000000006,133
Juncus effusus,Juncaceae,9,6,20,Juncus effusus,NA,13.57264734,non-woody,270.228,0.016600000000000007,0.761216973,1402.0000000000002,134
Juniperus communis,Cupressaceae,66,34,112,Juniperus communis,NA,11.44467354,woody,407.42251571599985,11.7085,3.0414365519999995,20.680000000000003,135
Juniperus scopulorum,Cupressaceae,20,18,131,Juniperus scopulorum,NA,13.04468907,woody,89.48311905923762,15.7658,11.458257300000001,196.03858437945857,136
Kalmia microphylla,Ericaceae,13,8,6,Kalmia microphylla,NA,16.010762906358192,woody,66.20286548128361,0.010000000000000004,0.3,332.4827457247749,137
Lappula occidentalis,Boraginaceae,7,5,1,Lappula occidentalis,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,138
Larix laricina,Pinaceae,11,6,55,Larix laricina,NA,15.28582255,woody,231.42996822008234,1.5223,23.399327270000004,33,139
Larix occidentalis,Pinaceae,15,10,45,Larix occidentalis,NA,16.38228862,woody,161.62938532206388,3.2728999999999995,50.83738162,25.199999999999996,140
Lathyrus japonicus,Leguminosae,22,15,5,Lathyrus japonicus,NA,22.35801078075943,non-woody,0.3581532916900139,31.9982,0.42837748,1166.787942056333,141
Lathyrus nevadensis,Leguminosae,22,15,1,Lathyrus nevadensis,NA,27.406908949440368,non-woody,0.34741730055623454,16.700000000000003,0.6117022633525245,1748.2945938836876,142
Lathyrus ochroleucus,Leguminosae,22,15,5,Lathyrus ochroleucus,NA,32.9,non-woody,0.29835218661590485,16.640000000000004,0.9,2936.2962919675106,143
Lewisia rediviva,Montiaceae,21,13,50,Lewisia rediviva,NA,22.102905133127297,non-woody,0.49155502586513583,2.611,0.5886593691415903,3347.409372222681,144
Leymus cinereus,Poaceae,15,10,18,Leymus cinereus,NA,20.9752037638401,non-woody,6.853015572587451,3.0444,1.52,3223.764005927707,145
Leymus mollis,Poaceae,17,11,18,Leymus mollis,NA,22.371954306731936,non-woody,1.115298166793278,2.880528864666245,1.21,2738.8712024121514,146
Ligusticum canbyi,Apiaceae,11,8,19,Ligusticum canbyi,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,147
Ligusticum scoticum,Apiaceae,12,4,5,Ligusticum scoticum,NA,23.339153458859695,non-woody,0.32211262418902215,3.7199,0.52,3161.9999999999986,148
Lilium columbianum,Liliaceae,34,22,27,Lilium columbianum,NA,23.538255718492408,non-woody,0.6930076760641949,2.55,0.7863380482001355,2380.9493375002608,149
Linnaea borealis,Caprifoliaceae,8,8,6,Linnaea borealis,NA,9.304296068,non-woody,0.25,1.1894,0.17717347,92.95999999999995,150
Lithospermum ruderale,Boraginaceae,15,6,23,Lithospermum ruderale,NA,25.66043030306215,non-woody,0.30384051019325753,10.2411,0.45,2410.2334007661307,151
