Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database?,Covered in Pierce et al. 2017?,Covered in knb?,IUCN Status,TRY data available,Species_full,Species_full_author,Synonym,original_name,Genus
Valeriana edulis,,,Nutt. ex Torr. & A. Gray,,NA,"tobacco root, or edible valerian",Valerianaceae,Y,Y,NA,NA,/,requested,Valeriana edulis,Valeriana edulis Nutt. ex Torr. & A. Gray,Valeriana edulis,Valeriana edulis,Valeriana
Valeriana sitchensis,,,Bong,,NA,"mountain valerian, or Sitka valerian",Valerianaceae,Y,Y,NA,NA,/,requested,Valeriana sitchensis,Valeriana sitchensis Bong,Valeriana sitchensis,Valeriana sitchensis,Valeriana
Veratrum viride,,,Aiton,,NA,"false hellebore, or green hellebore",Liliaceae,Y,Y,NA,NA,/,requested,Veratrum viride,Veratrum viride Aiton,Veratrum viride,Veratrum viride,Veratrum
Viburnum edule,,,(Michx.) Raf,,NA,"highbush cranberry, or squashberry",Caprifoliaceae,Y,Y,NA,NA,/,requested,Viburnum edule,Viburnum edule (Michx.) Raf,Viburnum edule,Viburnum edule,Viburnum
Viburnum opulus,,,L.,,NA,"American highbush cranberry, or bush cranberry",Caprifoliaceae,Y,Y,NA,NA,/,requested,Viburnum opulus,Viburnum opulus L.,Viburnum opulus,Viburnum opulus,Viburnum
Vicia nigricans,ssp. gigantea,,NA,(Hook.) Lassetter & C.R. Gunn.,NA,giant vetch,Fabaceae,Y,Y,NA,NA,/,requested,Vicia nigricans subsp. gigantea,Vicia nigricans NA ssp. gigantea (Hook.) Lassetter & C.R. Gunn.,Vicia nigricans subsp. gigantea,Vicia nigricans ssp. gigantea,Vicia
Viola adunca,,,Sm. var. adunca,,NA,early blue violet,Violaceae,Y,Y,NA,NA,/,requested,Viola adunca,Viola adunca Sm. var. adunca,Viola adunca,Viola adunca,Viola
Xerophyllum tenax,,,(Pursh) Nutt.,,NA,common beargrass,Liliaceae,Y,Y,NA,NA,/,requested,Xerophyllum tenax,Xerophyllum tenax (Pursh) Nutt.,Xerophyllum tenax,Xerophyllum tenax,Xerophyllum
Zigadenus venenosus,,,S. Watson,,NA,"death camas, meadow death camas",Liliaceae,Y,Y,NA,NA,/,not found,Zigadenus venenosus,Zigadenus venenosus S. Watson,Zigadenus venenosus,Zigadenus venenosus,Zigadenus
Zigadenus elegans,,,Pursh,,NA,mountain death camas,Liliaceae,Y,Y,NA,NA,/,not found,Zigadenus elegans,Zigadenus elegans Pursh,Zigadenus elegans,Zigadenus elegans,Zigadenus
Zostera marina,,,L.,,NA,eelgrass,Zosteraceae,Y,Y,NA,NA,Decreasing (Least Concern),requested,Zostera marina,Zostera marina L.,Zostera marina,Zostera marina,Zostera
Hierochloe odorata,,,NA,,NA,NA,Poaceae,NA,NA,NA,NA,NA,NA,Hierochloe odorata,Hierochloe odorata NA,Hierochloe odorata,Hierochloe odorata,Hierochloe
Rhododendron columbianum,,,NA,,NA,NA,Ericaceae,NA,NA,NA,NA,NA,NA,Rhododendron columbianum,Rhododendron columbianum NA,Rhododendron columbianum,Rhododendron columbianum,Rhododendron
