Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Frangula purshiana,Rhamnaceae,52,26,62,Frangula purshiana,NA,20.317420794831367,woody,175.14324116489104,37.99360000000001,10.33,2464.5568369100024,110
Frasera montana,Gentianaceae,5,4,1,Frasera montana,NA,19.927962701663024,woody,172.5952572029817,15.940579241418378,4.476998246691822,2336.964611258296,111
Fritillaria affinis,Liliaceae,17,13,12,Fritillaria affinis,NA,20.805616491701425,non-woody,45.59148798074646,2.2,0.5893773623027261,2322.706570035808,112
Fritillaria camschatcensis,Liliaceae,34,21,14,Fritillaria camschatcensis,NA,20.752943856497122,non-woody,42.82145874323863,3.235371165687839,0.6091561591739432,2365.563521832658,113
Fritillaria pudica,Liliaceae,16,9,20,Fritillaria pudica,NA,20.37184365121511,non-woody,45.655800600537276,2.3157,0.3,1710.5569325213448,114
Gaillardia aristata,Compositae,12,5,19,Gaillardia aristata,NA,20.897794146382942,non-woody,41.6716442476237,8.540099999999999,0.6,2522.531759136754,115
Galium aparine,Rubiaceae,36,20,19,Galium aparine,NA,25.66632034,non-woody,0.139310853,7.752200000000001,0.389570305,159.04999999999998,116
Galium triflorum,Rubiaceae,36,20,19,Galium triflorum,NA,19.05135813,non-woody,37.007704745789596,0.7321,0.5432700722389077,1478.3121760529966,117
Gaultheria shallon,Ericaceae,77,30,82,Gaultheria shallon,NA,8.890435201,woody,204.3605716200592,0.11909999999999997,1.471306473,3019.000000000001,118
Geranium viscosissimum,Geraniaceae,6,5,12,Geranium viscosissimum,NA,20.9521863583905,non-woody,46.973346267238306,8.489500000000001,0.91,2505.359999999999,119
Geum macrophyllum,Rosaceae,21,18,19,Geum macrophyllum,NA,18.351669897783257,non-woody,0.260357555,1.5367,0.6,1010.9800000000004,120
Geum triflorum,Rosaceae,9,4,26,Geum triflorum,NA,14.19803952,non-woody,49.77690311986506,0.6286,0.45,828.7999999999998,121
Glaux maritima,Primulaceae,4,3,3,Glaux maritima,NA,21.43076520391025,non-woody,47.24091489938948,2.6908531405304044,0.7318499796699107,2160.1498692692116,122
Goodyera oblongifolia,Orchidaceae,17,12,8,Goodyera oblongifolia,NA,20.256850247540925,non-woody,83.7557904766341,0.0014000000000000004,1.085683771999458,7909.052556443772,123
Gymnocarpium dryopteris,Cystopteridaceae,4,4,1,Gymnocarpium dryopteris,NA,20.87572485,non-woody,164.14581669571405,2.2000000000000016e-5,0.205303911,4084.0800000000004,124
Hackelia diffusa,Boraginaceae,7,5,1,Hackelia diffusa,NA,19.87835714639133,woody,172.46234923542215,15.751812732076726,4.4352554629547765,2336.9454009916294,125
Hedysarum alpinum,Leguminosae,15,7,12,Hedysarum alpinum,NA,38.3,non-woody,44.33821491327669,6.0681,0.24494897400000004,3816.249033038522,126
Heracleum maximum,Apiaceae,102,50,189,Heracleum maximum,NA,16.77248366116235,non-woody,87.21082976145159,6.538600000000001,2.43,12356.380000000003,127
Heuchera cylindrica,Saxifragaceae,17,12,22,Heuchera cylindrica,NA,19.808428384735894,non-woody,111.83543473390664,0.05000000000000001,1.82,6079.082560342025,128
