"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"54","Zanne","Amy",61,"Global Wood Density Database","Picea sitchensis",41942,"Picea sitchensis",747910,3358286,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.36162","g/cm^3","Single",NA,NA,NA,0.36162,"g/cm3",NA,NA,0.893201,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"55","Cornelissen","Johannes",72,"Sheffield & Spain Woody Database","Picea sitchensis",41942,"Picea sitchensis",941222,5618193,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Stem density mg/mm3)","0.284551973","mg/mm3","Single",NA,NA,NA,0.284551973,"g/cm3",NA,NA,1.45932,"Castro-Diez, P., J. P. Puyravaud, J. H. C. Cornelissen, and P. Villar-Salvador. 1998. Stem anatomy and relative growth rate in seedlings of a wide range of woody plant species and types. Oecologia 116:57-66.",NA,NA
"56","Zanne","Amy",61,"Global Wood Density Database","Pinus contorta",42110,"Pinus contorta",747942,3358350,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.43","g/cm^3","Single",NA,NA,NA,0.43,"g/cm3",NA,NA,0.841869,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"57","Zanne","Amy",61,"Global Wood Density Database","Pinus monticola",42156,"Pinus monticola",747985,3358436,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.42","g/cm^3","Single",NA,NA,NA,0.42,"g/cm3",NA,NA,0.922574,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"58","Zanne","Amy",61,"Global Wood Density Database","Pinus ponderosa",42168,"Pinus ponderosa",747998,3358462,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.42","g/cm^3","Single",NA,NA,NA,0.42,"g/cm3",NA,NA,0.922574,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"59","Reich","Peter",94,"Global A, N, P, SLA Database","Pinus ponderosa",42168,"Pinus ponderosa",949392,5848232,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WoodDensity(kg/m3)Round","350","kg/m3","Single",NA,NA,NA,0.35,"g/cm3",NA,NA,1.5479,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"60","Reich","Peter",94,"Global A, N, P, SLA Database","Pinus ponderosa",42168,"Pinus ponderosa",949880,5863459,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WoodDensity(kg/m3)Round","350","kg/m3","Single",NA,NA,NA,0.35,"g/cm3",NA,NA,1.5479,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"61","Zanne","Amy",61,"Global Wood Density Database","Populus balsamifera",43495,"Populus balsamifera",748390,3359246,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.35","g/cm^3","Single",NA,NA,NA,0.35,"g/cm3",NA,NA,0.876601,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"62","Zanne","Amy",61,"Global Wood Density Database","Populus tremuloides",43533,"Populus tremuloides",748425,3359316,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.4","g/cm^3","Single",NA,NA,NA,0.4,"g/cm3",NA,NA,0.561202,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"63","Zanne","Amy",61,"Global Wood Density Database","Populus tremuloides",43533,"Populus tremuloides",748426,3359318,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.33","g/cm^3","Single",NA,NA,NA,0.33,"g/cm3",NA,NA,1.01558,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
